Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude,Features
51,W7TWA,441.625,,+,Tone,100,88.5,23,NN,FM,5, ,"IRLP (7377): Seattle, WA Mount Baldy, 3,975' + 50'", , , , ,,46.988071,-120.505066,IRLP (7377)
52,WA6HWW,147.57,Simplex,,Tone, ,88.5,23,NN,FM,5, ,"IRLP (3143): At Bob's house, great Grants Pass coverage", , , , ,,42.440739,-123.326103,IRLP (3143)
54,VK2RSW,439.775,,-,Tone,123,88.5,23,NN,FM,5, ,"IRLP (6662): Blaxland, New South Wales, Australia  500'", , , , ,,-33.746076,150.60927,IRLP (6662)
55,WH6FM,444.725,,+,Tone,123,88.5,23,NN,FM,5, ,AllStar (27169): Honolulu Metro, , , , ,,19.412781,-154.962982,AllStar (27169)
56,KE5JTS,441,Simplex,,Tone, ,88.5,23,NN,FM,5, ,"AllStar (3622): Near Lodi, at Jason's house", , , , ,,38.154085,-121.301337,AllStar (3622)
58,WI6RE,147.975,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (27167): El Paso Pk. 4,500' + 100' ", , , , ,,35.476071,-117.709785,AllStar (27167)
59,K6JRM,446.86,,-,Tone,100,88.5,23,NN,FM,5, ,"AllStar (44236): John's house in Ehrenberg, AZ", , , , ,,33.616227,-114.478916,AllStar (44236)
61,WH6FM,444.725,,+,Tone,123,88.5,23,NN,FM,5, ,"AllStar (2598): Hilo, Hawaii", , , , ,,19.724112,-155.086823,AllStar (2598)
62,K7WWA,444.925,,+,Tone,100,88.5,23,NN,FM,5, ,"AllStar (1460): Laughlin Range, 3,250' + 100'", , , , ,,39.283685,-123.228742,AllStar (1460)
64,KE6LGE,441.5,,+,Tone,100,88.5,23,NN,FM,5, ,IRLP (3865): TX. San Antonio. Al's house                 A29896  &, , , , ,,29.425171,-98.494614,IRLP (3865)
65,KG6PH,446.075,Simplex,,Tone, ,88.5,23,NN,FM,5, ,"IRLP (3923): Chuck's house, good local coverage", , , , ,,32.715736,-117.161087,IRLP (3923)
66,AF6SP,445,Simplex,,Tone, ,88.5,23,NN,FM,5, ,IRLP (3767): Ken's house, , , , ,,33.928335,-117.945058,IRLP (3767)
